criteria_timestamp,supertrend_signal_time,macd_signal_time,pattern_vwap_signal_time,criteria_type,criteria_breakout_price,symbol,expiry_date,strike_price,option_type,entry_signal,ENTRY_TIME,entry_price,stoploss,EXIT_TIME,exit_price,PNL,reason_for_exit
2024-06-26 14:10:00,2024-06-26 14:05:00,2024-06-26 14:10:00,2024-06-26 14:10:00,LONG,23872.2,NIFTY,2024-06-27,23850.0,CALL,BUY,2024-06-26 14:10:00,99.55,23833.71140127024,2024-06-26 14:20:00,103.5,3.950000000000003,MACD Crossover
2024-06-26 14:10:00,2024-06-26 14:05:00,2024-06-26 14:10:00,2024-06-26 14:10:00,LONG,23872.2,NIFTY,2024-06-27,23850.0,CALL,BUY,2024-06-26 14:10:00,99.55,23833.71140127024,2024-06-26 15:15:00,88.55,-11.0,Exittime
2024-06-27 09:55:00,2024-06-27 09:45:00,2024-06-27 09:55:00,2024-06-27 09:55:00,LONG,23913.6,NIFTY,2024-06-27,23900.0,CALL,BUY,2024-06-27 09:55:00,50.0,23838.547516523267,2024-06-27 10:30:00,112.1,62.099999999999994,Stoploss
2024-06-27 09:55:00,2024-06-27 09:45:00,2024-06-27 09:55:00,2024-06-27 09:55:00,LONG,23913.6,NIFTY,2024-06-27,23900.0,CALL,BUY,2024-06-27 09:55:00,50.0,23838.547516523267,2024-06-27 10:30:00,112.1,62.099999999999994,Stoploss
2024-06-27 10:05:00,2024-06-27 09:45:00,2024-06-27 09:55:00,2024-06-27 10:05:00,LONG,23952.75,NIFTY,2024-06-27,23950.0,CALL,BUY,2024-06-27 10:05:00,71.9,23901.16919616225,2024-06-27 10:30:00,79.1,7.199999999999989,Stoploss
2024-06-27 10:05:00,2024-06-27 09:45:00,2024-06-27 09:55:00,2024-06-27 10:05:00,LONG,23952.75,NIFTY,2024-06-27,23950.0,CALL,BUY,2024-06-27 10:05:00,71.9,23901.16919616225,2024-06-27 10:30:00,79.1,7.199999999999989,Stoploss
2024-06-27 10:40:00,2024-06-27 10:30:00,2024-06-27 10:40:00,2024-06-27 10:40:00,SHORT,23850.95,NIFTY,2024-06-27,23850.0,PUT,BUY,2024-06-27 10:40:00,33.2,23942.91333905384,2024-06-27 11:10:00,32.25,-0.9500000000000028,Stoploss
2024-06-27 10:40:00,2024-06-27 10:30:00,2024-06-27 10:40:00,2024-06-27 10:40:00,SHORT,23850.95,NIFTY,2024-06-27,23850.0,PUT,BUY,2024-06-27 10:40:00,33.2,23942.91333905384,2024-06-27 11:10:00,32.25,-0.9500000000000028,Stoploss
2024-06-27 10:50:00,2024-06-27 10:30:00,2024-06-27 10:40:00,2024-06-27 10:50:00,SHORT,23852.05,NIFTY,2024-06-27,23850.0,PUT,BUY,2024-06-27 10:50:00,44.55,23910.51017210115,2024-06-27 11:10:00,32.25,-12.299999999999997,Stoploss
2024-06-27 10:50:00,2024-06-27 10:30:00,2024-06-27 10:40:00,2024-06-27 10:50:00,SHORT,23852.05,NIFTY,2024-06-27,23850.0,PUT,BUY,2024-06-27 10:50:00,44.55,23910.51017210115,2024-06-27 11:10:00,32.25,-12.299999999999997,Stoploss
